Table Name
AdminUsers
FieldLevelSecurity
FieldLevelUserRights
Forms
HistoryRole
HistoryRoleRights
HistoryUser
HistoryUserRights
HistoryUserRoles
MauzaRights
Menu
Module
PatwarCircleRights
QanoonGoiRights
Role
RoleRights
User
UserModule
UserPatwarCircle
UserQanoonGoi
UserRights
UserRoles
UserServiceCentre
UsersLog
